分类: 📺央视频道, 名称: CCTV-1, 有效: 3, IPv4: 0, IPv6: 8, 最小延迟: 91 ms, 最高速率: 13.57 M/s, 平均速率: 5.32 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 0, IPv4: 0, IPv6: 5, 最小延迟: 2168 ms, 最高速率: 0.21 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 2, IPv4: 0, IPv6: 9, 最小延迟: 92 ms, 最高速率: 13.57 M/s, 平均速率: 7.18 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 4, IPv4: 0, IPv6: 11, 最小延迟: 31 ms, 最高速率: 32.26 M/s, 平均速率: 15.99 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 2, IPv4: 0, IPv6: 11, 最小延迟: 96 ms, 最高速率: 13.57 M/s, 平均速率: 7.74 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 3, IPv4: 0, IPv6: 4, 最小延迟: 36 ms, 最高速率: 30.71 M/s, 平均速率: 11.03 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 1, IPv4: 0, IPv6: 5, 最小延迟: 5787 ms, 最高速率: 2.10 M/s, 平均速率: 2.10 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 1, IPv4: 0, IPv6: 6, 最小延迟: 98 ms, 最高速率: 23.75 M/s, 平均速率: 23.75 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 2, IPv4: 0, IPv6: 5, 最小延迟: 31 ms, 最高速率: 36.06 M/s, 平均速率: 19.10 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 3, IPv4: 0, IPv6: 6, 最小延迟: 96 ms, 最高速率: 13.57 M/s, 平均速率: 7.77 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 1, IPv4: 0, IPv6: 6, 最小延迟: 2410 ms, 最高速率: 2.16 M/s, 平均速率: 2.16 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 1, IPv4: 0, IPv6: 7, 最小延迟: 98 ms, 最高速率: 13.57 M/s, 平均速率: 13.57 M/s, 最高分辨率: 1280x720
分类: 📺央视频道, 名称: CCTV-12, 有效: 2, IPv4: 0, IPv6: 8, 最小延迟: 32 ms, 最高速率: 31.69 M/s, 平均速率: 16.92 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 1, IPv4: 0, IPv6: 9, 最小延迟: 56 ms, 最高速率: 16.21 M/s, 平均速率: 16.21 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 3, IPv4: 0, IPv6: 8, 最小延迟: 92 ms, 最高速率: 13.57 M/s, 平均速率: 8.17 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 2, IPv4: 0, IPv6: 9, 最小延迟: 67 ms, 最高速率: 16.82 M/s, 平均速率: 12.22 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 6, IPv4: 0, IPv6: 8, 最小延迟: 29 ms, 最高速率: 16.61 M/s, 平均速率: 8.52 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 1, IPv4: 0, IPv6: 2, 最小延迟: 4814 ms, 最高速率: 0.94 M/s, 平均速率: 0.94 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 1, IPv4: 0, IPv6: 3, 最小延迟: 55 ms, 最高速率: 19.14 M/s, 平均速率: 19.14 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 4, IPv4: 0, IPv6: 10, 最小延迟: 91 ms, 最高速率: 8.77 M/s, 平均速率: 5.10 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 北京卫视, 有效: 4, IPv4: 0, IPv6: 8, 最小延迟: 92 ms, 最高速率: 8.78 M/s, 平均速率: 5.12 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 0, IPv6: 9, 最小延迟: 46 ms, 最高速率: 14.44 M/s, 平均速率: 5.11 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东珠江, 有效: 2, IPv4: 0, IPv6: 18, 最小延迟: 91 ms, 最高速率: 15.83 M/s, 平均速率: 14.70 M/s, 最高分辨率: 1920x1080
