🕘️更新时间,#genre#
2026-03-08 23:22:58,https://t.freetv.fun/live/cctv-1hd.m3u8

📺央视频道,#genre#
CCTV-1,https://t.freetv.fun/live/cctv-1hd.m3u8
CCTV-1,https://t.freetv.fun/live/cctv1-3.m3u8
CCTV-1,https://t.freetv.fun/live/cctv1zong-he-2.php
CCTV-3,https://t.freetv.fun/live/cctv-3hd.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3-3.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4k.php
CCTV-4,https://t.freetv.fun/live/cctv4-2.php
CCTV-4,https://t.freetv.fun/live/cctv-4hd.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-4.m3u8
CCTV-5,https://t.freetv.fun/live/cctv-5hd.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-5.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-2.php
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-1.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus.php
CCTV-6,https://t.freetv.fun/live/cctv6-3.m3u8
CCTV-7,https://t.freetv.fun/live/cctv-7hd.m3u8
CCTV-8,https://t.freetv.fun/live/cctv8-4.php
CCTV-8,https://t.freetv.fun/live/cctv8-1.m3u8
CCTV-9,https://t.freetv.fun/live/cctv-9hd.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-1.m3u8
CCTV-10,https://t.freetv.fun/live/cctv10-1.m3u8
CCTV-11,https://t.freetv.fun/live/cctv-11hd.m3u8
CCTV-12,https://t.freetv.fun/live/cctv12-2.php
CCTV-12,https://t.freetv.fun/live/cctv12-1.m3u8
CCTV-12,https://t.freetv.fun/live/cctv12-3.php
CCTV-13,https://t.freetv.fun/live/cctv13-5.php
CCTV-14,https://t.freetv.fun/live/cctv-14hd.m3u8
CCTV-14,https://t.freetv.fun/live/cctv14hd.m3u8
CCTV-14,https://t.freetv.fun/live/cctv14-1.m3u8
CCTV-15,https://t.freetv.fun/live/cctv15-4.php
CCTV-15,https://t.freetv.fun/live/cctv-15hd.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16-1.php
CCTV-16,https://t.freetv.fun/live/cctv16-4.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16-2.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16-6.m3u8
CCTV-17,https://t.freetv.fun/live/cctv17-5.php
CETV-1,https://t.freetv.fun/live/cetv1-2.m3u8

📡卫视频道,#genre#
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-3.m3u8
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-15.m3u8
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-4.m3u8
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-7.php
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-6.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-9.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-8.php
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-11.php
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi.m3u8
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-5.m3u8
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-6.php
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-1.m3u8

☘️广东频道,#genre#
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-10.m3u8
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-2.m3u8
